Area_Name,Year,Group_Name,Sub_Group_Name,K_A_Cases_Reported,K_A_Female_10_15_Years,K_A_Female_15_18_Years,K_A_Female_18_30_Years,K_A_Female_30_50_Years,K_A_Female_Above_50_Years,K_A_Female_Total,K_A_Female_Upto_10_Years,K_A_Grand_Total,K_A_Male_10_15_Years,K_A_Male_15_18_Years,K_A_Male_18_30_Years,K_A_Male_30_50_Years,K_A_Male_Above_50_Years,K_A_Male_Total,K_A_Male_Upto_10_Years
West Bengal,2010,Kidnap - For Selling Bodyparts,10. For Selling Bodyparts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,2010,Kidnap - For Slavery,11. For Slavery,2,0,0,0,0,0,0,0,2,0,0,2,0,0,2,0
Arunachal Pradesh,2010,Kidnap - For Slavery,11. For Slavery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bihar,2010,Kidnap - For Slavery,11. For Slavery,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,2,NULL,NULL,NULL,2,NULL
Chhattisgarh,2010,Kidnap - For Slavery,11. For Slavery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gujarat,2010,Kidnap - For Slavery,11. For Slavery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,2010,Kidnap - For Slavery,11. For Slavery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,2010,Kidnap - For Slavery,11. For Slavery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jharkhand,2010,Kidnap - For Slavery,11. For Slavery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Karnataka,2010,Kidnap - For Slavery,11. For Slavery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kerala,2010,Kidnap - For Slavery,11. For Slavery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,2010,Kidnap - For Slavery,11. For Slavery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maharashtra,2010,Kidnap - For Slavery,11. For Slavery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manipur,2010,Kidnap - For Slavery,11. For Slavery,1,0,0,3,0,0,3,0,10,0,1,6,0,0,7,0
Meghalaya,2010,Kidnap - For Slavery,11. For Slavery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mizoram,2010,Kidnap - For Slavery,11. For Slavery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nagaland,2010,Kidnap - For Slavery,11. For Slavery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,2010,Kidnap - For Slavery,11. For Slavery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tamil Nadu,2010,Kidnap - For Slavery,11. For Slavery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,2010,Kidnap - For Slavery,11. For Slavery,37,0,0,0,0,0,0,0,37,13,4,19,1,0,37,0
West Bengal,2010,Kidnap - For Slavery,11. For Slavery,6,0,0,0,0,0,1,1,6,2,3,0,0,0,5,0
Andhra Pradesh,2010,Kidnap - For Unlawful Activity,12. For Unlawful Activity,104,12,11,11,3,0,37,0,104,1,0,44,20,0,67,2
Arunachal Pradesh,2010,Kidnap - For Unlawful Activity,12. For Unlawful Activity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,2010,Kidnap - For Unlawful Activity,12. For Unlawful Activity,29,NULL,NULL,NULL,NULL,NULL,NULL,NULL,29,NULL,NULL,18,11,NULL,29,NULL
Bihar,2010,Kidnap - For Unlawful Activity,12. For Unlawful Activity,250,NULL,1,1,1,NULL,4,1,254,6,61,152,23,NULL,250,8
Chhattisgarh,2010,Kidnap - For Unlawful Activity,12. For Unlawful Activity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delhi,2010,Kidnap - For Unlawful Activity,12. For Unlawful Activity,10,4,3,NULL,NULL,NULL,8,1,10,2,0,NULL,NULL,NULL,2,NULL
Goa,2010,Kidnap - For Unlawful Activity,12. For Unlawful Activity,1,0,1,NULL,NULL,NULL,1,0,1,0,NULL,NULL,NULL,NULL,NULL,0
Gujarat,2010,Kidnap - For Unlawful Activity,12. For Unlawful Activity,25,0,0,0,0,0,0,0,25,4,1,14,6,0,25,0
Haryana,2010,Kidnap - For Unlawful Activity,12. For Unlawful Activity,42,5,3,1,0,0,10,1,42,5,1,16,7,0,32,3
Himachal Pradesh,2010,Kidnap - For Unlawful Activity,12. For Unlawful Activity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,2010,Kidnap - For Unlawful Activity,12. For Unlawful Activity,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
Jharkhand,2010,Kidnap - For Unlawful Activity,12. For Unlawful Activity,25,0,2,3,0,0,5,0,25,0,0,11,9,0,20,0
Karnataka,2010,Kidnap - For Unlawful Activity,12. For Unlawful Activity,75,0,0,54,3,0,57,0,75,0,0,10,7,1,18,0
Kerala,2010,Kidnap - For Unlawful Activity,12. For Unlawful Activity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,2010,Kidnap - For Unlawful Activity,12. For Unlawful Activity,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0
Maharashtra,2010,Kidnap - For Unlawful Activity,12. For Unlawful Activity,17,0,2,0,0,0,2,0,17,0,0,1,14,0,15,0
Manipur,2010,Kidnap - For Unlawful Activity,12. For Unlawful Activity,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0
Meghalaya,2010,Kidnap - For Unlawful Activity,12. For Unlawful Activity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mizoram,2010,Kidnap - For Unlawful Activity,12. For Unlawful Activity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nagaland,2010,Kidnap - For Unlawful Activity,12. For Unlawful Activity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,2010,Kidnap - For Unlawful Activity,12. For Unlawful Activity,13,0,0,5,0,0,5,0,13,0,0,6,2,0,8,0
Puducherry,2010,Kidnap - For Unlawful Activity,12. For Unlawful Activity,4,1,NULL,1,NULL,NULL,2,NULL,5,NULL,NULL,NULL,1,NULL,3,2
Rajasthan,2010,Kidnap - For Unlawful Activity,12. For Unlawful Activity,67,NULL,NULL,24,17,3,44,NULL,67,NULL,NULL,13,5,5,23,NULL
Tamil Nadu,2010,Kidnap - For Unlawful Activity,12. For Unlawful Activity,24,1,0,18,4,1,24,0,24,0,0,0,0,0,0,0
West Bengal,2010,Kidnap - For Unlawful Activity,12. For Unlawful Activity,155,4,2,62,19,2,91,2,169,2,2,46,25,1,78,2
Andaman & Nicobar Islands,2010,Kidnap - For Other Purposes,13. Other Purposes,8,5,1,NULL,NULL,NULL,6,NULL,8,NULL,1,NULL,1,NULL,2,NULL
Andhra Pradesh,2010,Kidnap - For Other Purposes,13. Other Purposes,808,30,82,155,110,10,422,35,808,8,16,210,131,13,386,8
Arunachal Pradesh,2010,Kidnap - For Other Purposes,13. Other Purposes,23,2,0,0,0,0,2,0,23,0,0,17,4,0,21,0
Assam,2010,Kidnap - For Other Purposes,13. Other Purposes,625,NULL,NULL,169,34,NULL,203,NULL,625,NULL,NULL,298,124,NULL,422,NULL
Bihar,2010,Kidnap - For Other Purposes,13. Other Purposes,754,3,2,101,9,NULL,115,NULL,754,31,32,506,68,NULL,639,2
Chandigarh,2010,Kidnap - For Other Purposes,13. Other Purposes,8,NULL,NULL,NULL,NULL,NULL,1,1,8,NULL,NULL,6,NULL,NULL,7,1
Chhattisgarh,2010,Kidnap - For Other Purposes,13. Other Purposes,165,17,14,41,7,0,85,6,165,14,15,28,17,1,80,5
Dadra & Nagar Haveli,2010,Kidnap - For Other Purposes,13. Other Purposes,7,NULL,NULL,NULL,1,NULL,1,NULL,7,NULL,NULL,3,3,NULL,6,NULL
Daman & Diu,2010,Kidnap - For Other Purposes,13. Other Purposes,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,1,NULL,1,NULL,NULL,2,NULL
Delhi,2010,Kidnap - For Other Purposes,13. Other Purposes,2977,627,689,92,14,0,1593,171,3330,903,379,56,43,3,1737,353
Goa,2010,Kidnap - For Other Purposes,13. Other Purposes,14,1,6,3,2,NULL,12,NULL,15,NULL,NULL,1,2,NULL,3,NULL
Gujarat,2010,Kidnap - For Other Purposes,13. Other Purposes,235,7,44,34,11,1,102,5,237,8,6,66,43,3,135,9
Haryana,2010,Kidnap - For Other Purposes,13. Other Purposes,242,6,14,52,12,0,86,2,242,6,3,104,36,6,156,1
Himachal Pradesh,2010,Kidnap - For Other Purposes,13. Other Purposes,39,0,4,6,0,1,11,0,39,7,4,6,6,2,28,3
Jammu & Kashmir,2010,Kidnap - For Other Purposes,13. Other Purposes,93,0,0,40,13,0,53,0,93,0,0,26,12,2,40,0
Jharkhand,2010,Kidnap - For Other Purposes,13. Other Purposes,285,0,0,76,34,0,110,0,285,0,0,133,42,0,175,0
Karnataka,2010,Kidnap - For Other Purposes,13. Other Purposes,1095,16,43,465,37,28,597,8,1152,8,0,436,80,17,555,14
Kerala,2010,Kidnap - For Other Purposes,13. Other Purposes,116,11,7,26,5,0,55,6,124,8,2,16,33,5,69,5
Madhya Pradesh,2010,Kidnap - For Other Purposes,13. Other Purposes,362,41,55,146,14,0,261,5,370,12,13,50,20,6,109,8
Maharashtra,2010,Kidnap - For Other Purposes,13. Other Purposes,543,58,57,77,20,2,248,34,562,23,15,141,86,21,314,28
Manipur,2010,Kidnap - For Other Purposes,13. Other Purposes,100,6,14,22,5,5,52,0,109,8,1,15,25,7,57,1
Meghalaya,2010,Kidnap - For Other Purposes,13. Other Purposes,29,2,2,3,0,0,10,3,33,0,0,18,3,0,23,2
Mizoram,2010,Kidnap - For Other Purposes,13. Other Purposes,6,0,0,0,0,0,0,0,6,0,0,4,2,0,6,0
Nagaland,2010,Kidnap - For Other Purposes,13. Other Purposes,2,0,0,0,0,0,0,0,2,0,0,0,2,0,2,0
Odisha,2010,Kidnap - For Other Purposes,13. Other Purposes,422,7,17,292,23,0,340,1,422,0,0,62,19,0,82,1
Punjab,2010,Kidnap - For Other Purposes,13. Other Purposes,231,8,14,22,2,1,50,3,236,7,9,80,63,5,186,22
Rajasthan,2010,Kidnap - For Other Purposes,13. Other Purposes,1327,80,198,435,88,1,815,13,1339,22,42,268,163,18,524,11
Sikkim,2010,Kidnap - For Other Purposes,13. Other Purposes,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,1,0,NULL,1,NULL
Tamil Nadu,2010,Kidnap - For Other Purposes,13. Other Purposes,483,15,62,118,31,3,241,12,488,4,2,87,136,11,247,7
Tripura,2010,Kidnap - For Other Purposes,13. Other Purposes,33,3,3,9,5,0,20,0,34,1,NULL,6,6,0,14,1
Uttar Pradesh,2010,Kidnap - For Other Purposes,13. Other Purposes,792,18,13,39,12,0,85,3,792,29,38,390,221,8,707,21
Uttarakhand,2010,Kidnap - For Other Purposes,13. Other Purposes,123,NULL,NULL,59,29,NULL,88,NULL,123,3,5,23,4,NULL,35,NULL
West Bengal,2010,Kidnap - For Other Purposes,13. Other Purposes,2271,0,6,1170,694,15,1885,0,2271,4,6,198,172,5,386,1
Andaman & Nicobar Islands,2010,Kidnap - Total,14. Total (Sum of 1-13 Above),10,5,3,NULL,NULL,NULL,8,NULL,10,NULL,1,NULL,1,NULL,2,NULL
Andhra Pradesh,2010,Kidnap - Total,14. Total (Sum of 1-13 Above),2053,136,357,749,240,10,1531,39,2053,14,20,283,177,13,522,15
Arunachal Pradesh,2010,Kidnap - Total,14. Total (Sum of 1-13 Above),67,5,0,34,7,0,46,0,67,0,0,17,4,0,21,0
Assam,2010,Kidnap - Total,14. Total (Sum of 1-13 Above),3250,5,12,2168,582,NULL,2767,NULL,3250,NULL,NULL,325,158,NULL,483,NULL
Bihar,2010,Kidnap - Total,14. Total (Sum of 1-13 Above),3674,64,1101,1312,91,NULL,2569,1,3683,58,112,817,103,1,1114,23
Chandigarh,2010,Kidnap - Total,14. Total (Sum of 1-13 Above),38,6,13,8,NULL,NULL,28,1,38,NULL,NULL,6,1,NULL,10,3
Chhattisgarh,2010,Kidnap - Total,14. Total (Sum of 1-13 Above),359,49,96,115,12,0,279,7,359,14,15,28,17,1,80,5
Dadra & Nagar Haveli,2010,Kidnap - Total,14. Total (Sum of 1-13 Above),18,7,2,1,1,NULL,11,NULL,18,1,NULL,3,3,NULL,7,NULL
Daman & Diu,2010,Kidnap - Total,14. Total (Sum of 1-13 Above),2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,1,NULL,1,NULL,NULL,2,NULL
Delhi,2010,Kidnap - Total,14. Total (Sum of 1-13 Above),3208,664,838,113,14,0,1805,176,3565,909,380,59,44,3,1760,365
Goa,2010,Kidnap - Total,14. Total (Sum of 1-13 Above),25,1,11,4,2,0,18,0,27,0,0,3,4,0,9,2
Gujarat,2010,Kidnap - Total,14. Total (Sum of 1-13 Above),1447,106,420,616,51,7,1208,8,1450,13,8,125,80,4,242,12
Haryana,2010,Kidnap - Total,14. Total (Sum of 1-13 Above),963,23,66,576,61,0,732,6,969,17,6,138,58,7,237,11
Himachal Pradesh,2010,Kidnap - Total,14. Total (Sum of 1-13 Above),194,18,50,82,15,1,166,0,200,8,5,8,6,2,34,5
Jammu & Kashmir,2010,Kidnap - Total,14. Total (Sum of 1-13 Above),896,1,3,702,138,1,846,1,896,0,0,33,15,2,50,0
Jharkhand,2010,Kidnap - Total,14. Total (Sum of 1-13 Above),978,3,10,589,94,0,696,0,978,0,4,195,80,2,282,1
Karnataka,2010,Kidnap - Total,14. Total (Sum of 1-13 Above),1374,24,96,623,44,28,825,10,1441,8,0,483,87,19,616,19
Kerala,2010,Kidnap - Total,14. Total (Sum of 1-13 Above),261,21,76,81,6,0,190,6,270,9,2,20,37,6,80,6
Madhya Pradesh,2010,Kidnap - Total,14. Total (Sum of 1-13 Above),1187,145,264,590,34,0,1043,10,1207,12,16,82,37,7,164,10
Maharashtra,2010,Kidnap - Total,14. Total (Sum of 1-13 Above),1508,170,548,398,56,2,1216,42,1603,30,21,166,111,22,387,37
Manipur,2010,Kidnap - Total,14. Total (Sum of 1-13 Above),199,12,44,53,9,5,124,1,231,9,2,30,46,19,107,1
Meghalaya,2010,Kidnap - Total,14. Total (Sum of 1-13 Above),71,2,7,9,3,0,24,3,76,2,3,34,10,0,52,3
Mizoram,2010,Kidnap - Total,14. Total (Sum of 1-13 Above),9,0,0,1,0,0,1,0,9,0,0,4,4,0,8,0
Nagaland,2010,Kidnap - Total,14. Total (Sum of 1-13 Above),50,2,2,4,0,0,9,1,50,1,5,15,17,1,41,2
Odisha,2010,Kidnap - Total,14. Total (Sum of 1-13 Above),1016,20,33,822,36,0,912,1,1016,0,0,76,27,0,104,1
Puducherry,2010,Kidnap - Total,14. Total (Sum of 1-13 Above),17,2,5,6,NULL,NULL,16,3,20,NULL,NULL,1,1,NULL,4,2
Punjab,2010,Kidnap - Total,14. Total (Sum of 1-13 Above),789,76,263,253,3,1,600,4,799,7,10,84,63,5,199,30
Rajasthan,2010,Kidnap - Total,14. Total (Sum of 1-13 Above),2985,163,537,1390,315,8,2432,19,2998,23,43,289,174,25,566,12
Sikkim,2010,Kidnap - Total,14. Total (Sum of 1-13 Above),6,1,5,NULL,NULL,NULL,6,NULL,7,NULL,NULL,1,NULL,NULL,1,NULL
Tamil Nadu,2010,Kidnap - Total,14. Total (Sum of 1-13 Above),1720,41,431,874,103,5,1467,13,1726,5,2,89,145,11,259,7
Tripura,2010,Kidnap - Total,14. Total (Sum of 1-13 Above),114,8,11,57,18,0,94,NULL,130,2,0,17,15,1,36,1
Uttar Pradesh,2010,Kidnap - Total,14. Total (Sum of 1-13 Above),6321,169,906,3682,699,0,5468,12,6323,59,48,460,247,10,855,31
Uttarakhand,2010,Kidnap - Total,14. Total (Sum of 1-13 Above),286,NULL,1,217,31,NULL,249,NULL,286,3,5,25,4,NULL,37,NULL
West Bengal,2010,Kidnap - Total,14. Total (Sum of 1-13 Above),3345,50,211,1573,840,98,2786,14,3391,24,23,284,229,35,605,10
