Area_Name,Year,Group_Name,Sub_Group_Name,K_A_Cases_Reported,K_A_Female_10_15_Years,K_A_Female_15_18_Years,K_A_Female_18_30_Years,K_A_Female_30_50_Years,K_A_Female_Above_50_Years,K_A_Female_Total,K_A_Female_Upto_10_Years,K_A_Grand_Total,K_A_Male_10_15_Years,K_A_Male_15_18_Years,K_A_Male_18_30_Years,K_A_Male_30_50_Years,K_A_Male_Above_50_Years,K_A_Male_Total,K_A_Male_Upto_10_Years
Andaman & Nicobar Islands,2010,Kidnap - For Marriage,05. For Marriage,2,NULL,2,NULL,NULL,NULL,2,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Andhra Pradesh,2010,Kidnap - For Marriage,05. For Marriage,945,85,240,489,114,0,929,1,945,0,4,12,0,0,16,0
Arunachal Pradesh,2010,Kidnap - For Marriage,05. For Marriage,40,0,0,33,7,0,40,0,40,0,0,0,0,0,0,0
Assam,2010,Kidnap - For Marriage,05. For Marriage,2114,NULL,NULL,1689,425,NULL,2114,NULL,2114,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Bihar,2010,Kidnap - For Marriage,05. For Marriage,2523,59,1093,1176,66,NULL,2394,NULL,2526,NULL,5,123,4,NULL,132,NULL
Chandigarh,2010,Kidnap - For Marriage,05. For Marriage,27,6,13,8,NULL,NULL,27,NULL,27,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Chhattisgarh,2010,Kidnap - For Marriage,05. For Marriage,175,29,72,69,5,0,175,0,175,0,0,0,0,0,0,0
Dadra & Nagar Haveli,2010,Kidnap - For Marriage,05. For Marriage,10,7,2,1,NULL,NULL,10,NULL,10,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Delhi,2010,Kidnap - For Marriage,05. For Marriage,175,26,127,21,NULL,NULL,176,2,177,NULL,1,NULL,NULL,NULL,1,NULL
Goa,2010,Kidnap - For Marriage,05. For Marriage,4,0,3,1,NULL,NULL,4,0,4,0,0,0,NULL,NULL,NULL,0
Gujarat,2010,Kidnap - For Marriage,05. For Marriage,893,68,281,473,33,6,861,0,894,0,0,19,14,0,33,0
Haryana,2010,Kidnap - For Marriage,05. For Marriage,485,9,36,400,42,0,487,0,489,0,0,2,0,0,2,0
Himachal Pradesh,2010,Kidnap - For Marriage,05. For Marriage,147,18,41,76,15,0,150,0,152,0,0,2,0,0,2,0
Jammu & Kashmir,2010,Kidnap - For Marriage,05. For Marriage,528,0,2,438,86,1,527,0,528,0,0,0,1,0,1,0
Jharkhand,2010,Kidnap - For Marriage,05. For Marriage,462,0,5,419,31,0,455,0,462,0,3,2,2,0,7,0
Karnataka,2010,Kidnap - For Marriage,05. For Marriage,155,7,52,81,2,0,142,0,155,0,0,13,0,0,13,0
